timestamp,frame_idx,proc_time_ms,fps_instantaneo
1770646975.0101032,0,614.39,1.63
1770646976.8041036,30,60.07,16.65
1770646978.3159645,60,47.68,20.97
1770646979.819914,90,51.82,19.30
1770646981.3202736,120,52.33,19.11
1770646982.8201382,150,48.19,20.75
1770646984.3202758,180,48.34,20.69
1770646985.8240924,210,52.21,19.15
1770646987.3240304,240,52.06,19.21
1770646988.8243086,270,48.42,20.65
1770646990.3240092,300,48.10,20.79
1770646991.3280363,330,36.09,27.71
1770646992.328269,360,32.28,30.98
1770646993.3281205,390,32.19,31.07
1770646994.3321862,420,36.09,27.71
1770646995.3321924,450,32.05,31.20
1770646996.3319805,480,31.63,31.62
1770646997.3360093,510,36.06,27.73
1770646998.3360288,540,32.04,31.21
1770646999.336006,570,32.03,31.22
1770647000.3401167,600,36.17,27.65
1770647001.3400044,630,31.95,31.29
1770647002.3399506,660,32.01,31.24
1770647003.3441017,690,36.18,27.64
1770647004.343971,720,32.02,31.23
1770647005.343999,750,31.99,31.26
1770647006.3480015,780,36.05,27.74
1770647007.3481288,810,32.17,31.09
1770647008.3480074,840,31.99,31.26
1770647009.3520722,870,36.13,27.68
1770647010.3519955,900,32.02,31.23
1770647011.352178,930,32.22,31.03
1770647012.3560448,960,36.11,27.70
1770647013.3562305,990,32.24,31.02
1770647014.3560393,1020,32.05,31.20
1770647015.3599694,1050,35.98,27.79
1770647016.359982,1080,31.99,31.26
1770647017.363982,1110,35.98,27.79
1770647018.3642693,1140,35.98,27.79
1770647019.3641372,1170,31.96,31.29
1770647020.3680434,1200,35.99,27.79
1770647021.3679783,1230,32.01,31.24
1770647022.3685946,1260,32.06,31.19
1770647023.3720627,1290,36.06,27.73
1770647024.3720582,1320,32.01,31.24
1770647025.3720217,1350,31.83,31.41
1770647026.375986,1380,35.81,27.93
1770647027.376232,1410,32.05,31.21
1770647028.376179,1440,31.62,31.63
1770647029.3801556,1470,36.21,27.61
1770647030.380082,1500,32.04,31.21
1770647031.3800297,1530,31.73,31.52
1770647032.384533,1560,36.55,27.36
1770647033.3839507,1590,32.01,31.24
1770647034.3839757,1620,31.98,31.27
1770647035.388076,1650,35.80,27.93
1770647036.3881505,1680,31.86,31.38
1770647037.3880584,1710,32.07,31.19
1770647038.392528,1740,36.51,27.39
1770647039.3920066,1770,32.05,31.20
1770647040.3922126,1800,32.24,31.02
1770647041.3959477,1830,36.01,27.77
1770647042.3959975,1860,31.97,31.28
1770647043.3960013,1890,31.85,31.40
1770647044.4000258,1920,35.93,27.83
1770647045.4008377,1950,32.23,31.02
1770647046.4001782,1980,31.80,31.45
1770647047.404043,2010,35.90,27.86
1770647048.4040318,2040,31.96,31.29
1770647049.4039707,2070,31.43,31.82
1770647050.4081173,2100,35.96,27.81
1770647051.4080613,2130,31.99,31.26
1770647052.4081008,2160,31.85,31.40
1770647053.412007,2190,35.89,27.86
1770647054.412608,2220,32.64,30.64
1770647055.4122226,2250,31.76,31.49
1770647056.4162068,2280,36.16,27.66
1770647057.4160683,2310,32.09,31.16
1770647058.4159615,2340,31.95,31.30
1770647059.4202607,2370,36.17,27.65
1770647060.420054,2400,31.84,31.40
1770647061.4200234,2430,31.90,31.35
1770647062.4240336,2460,35.97,27.80
1770647063.4240406,2490,31.82,31.43
1770647064.424114,2520,32.15,31.10
1770647065.4280207,2550,36.05,27.74
1770647066.4282546,2580,32.28,30.98
1770647067.4280844,2610,32.00,31.25
1770647068.4319994,2640,36.05,27.74
1770647069.4319878,2670,31.93,31.32
1770647070.4319968,2700,31.97,31.28
1770647071.436115,2730,36.13,27.68
1770647072.4359555,2760,31.80,31.45
1770647073.436159,2790,32.17,31.09
1770647074.4400706,2820,36.08,27.71
1770647075.4400628,2850,31.81,31.44
1770647076.4399374,2880,31.98,31.27
1770647077.444042,2910,36.04,27.75
1770647078.444045,2940,32.11,31.15
1770647079.4441595,2970,32.05,31.20
1770647080.4480476,3000,36.07,27.72
1770647081.4487312,3030,31.89,31.36
1770647082.4484203,3060,32.47,30.80
1770647083.4525514,3090,36.11,27.69
1770647084.4521124,3120,31.96,31.29
1770647085.4519835,3150,31.69,31.56
1770647086.4563284,3180,35.93,27.83
1770647087.4563015,3210,31.77,31.47
1770647088.4563274,3240,32.34,30.93
1770647089.4601302,3270,36.21,27.62
1770647090.4605138,3300,32.01,31.24
1770647091.4601104,3330,32.15,31.11
1770647092.4640875,3360,36.18,27.64
1770647093.4640372,3390,32.04,31.21
1770647094.4640162,3420,31.96,31.29
1770647095.4681845,3450,35.89,27.86
1770647096.468115,3480,32.11,31.14
1770647097.4680076,3510,31.84,31.41
1770647098.472035,3540,36.03,27.75
